,molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,base_rdkit_smiles,molecular_weight
1050,CHEMBL3582243,CC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2,IC50,'=',8543.0,nM,5.07,CC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@](C)(CC[C@H]4C(C)(C)C(=O)C(C#N)=C[C@]34C)[C@]1(C)CC2,489.7
1071,CHEMBL3353355,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,IC50,'=',800.0,nM,6.1,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5CCOCC5)cc4)n[nH]c3c1)C(=O)N2,506.61
1072,CHEMBL517438,C[C@H]([C@@H](c1ccc(Nc2nc3ccccc3s2)cc1)n1ccnc1)N(C)C,IC50,'=',5900.0,nM,5.23,C[C@H]([C@@H](c1ccc(Nc2nc3ccccc3s2)cc1)n1ccnc1)N(C)C,377.52
1142,CHEMBL1760809,Cn1c(-c2ccc(-c3cnccn3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CC(F)C1,IC50,'=',26000.0,nM,4.58,Cn1c(-c2ccc(-c3cnccn3)cc2Cl)nnc1C1(c2ccc(Cl)cc2)CC(F)C1,454.34
1152,CHEMBL3892576,CC(C)COC(=O)[C@@H](Cn1cncn1)NC(=O)c1ccc(-c2ccccc2F)cc1,IC50,'=',3220.0,nM,5.49,CC(C)COC(=O)[C@@H](Cn1cncn1)NC(=O)c1ccc(-c2ccccc2F)cc1,410.45
1192,CHEMBL1081860,N#Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,IC50,'=',2500.0,nM,5.6,N#Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCN(Cc2cc[nH]n2)CC3)cc1,407.5
1223,CHEMBL3970041,COC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,IC50,'=',20100.0,nM,4.7,COC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,433.9
1238,CHEMBL1649655,CN(C)S(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,IC50,'=',2000.0,nM,5.7,CN(C)S(=O)(=O)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,373.4
1253,CHEMBL361812,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,IC50,'=',15000.0,nM,4.82,O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2,416.47
1259,CHEMBL372357,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,IC50,'=',840.0,nM,6.08,O=c1c(C2=Nc3ccccc3S(=O)(=O)N2)c(O)c2cc(F)ccc2n1CCC1CC1,427.46
1267,CHEMBL495793,Cn1nccc1Nc1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,IC50,'=',10000.0,nM,5.0,Cn1nccc1Nc1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2,471.56
1284,CHEMBL178711,c1cncc(-c2ccc(CNCc3ccc(-c4cccnc4)s3)s2)c1,IC50,'=',710.0,nM,6.15,c1cncc(-c2ccc(CNCc3ccc(-c4cccnc4)s3)s2)c1,363.51
1294,CHEMBL1088752,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,IC50,'=',31622.78,nM,4.5,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,383.47
1314,CHEMBL590853,COC(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,IC50,'=',160.0,nM,6.8,COC(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,437.85
1332,CHEMBL3353354,O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccc(CN4CCOCC4)cc3)n[nH]c2c1,IC50,'=',1400.0,nM,5.85,O=C1Nc2ccccc2[C@]12C[C@H]2c1ccc2c(/C=C/c3ccc(CN4CCOCC4)cc3)n[nH]c2c1,476.58
1451,CHEMBL239497,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,IC50,'=',4900.0,nM,5.31,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(CC)(c1cc(F)cc(F)c1)O2,497.55
1457,CHEMBL207174,O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,IC50,'=',3900.0,nM,5.41,O=C(O)c1cccc(-c2ccccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,414.89
1465,CHEMBL2393182,O=C(NCc1ccc(Cl)nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,IC50,'=',1770.0,nM,5.75,O=C(NCc1ccc(Cl)nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,401.88
1480,CHEMBL602851,CC(C)CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,IC50,'=',160.0,nM,6.8,CC(C)CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,499.99
1481,CHEMBL591072,CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2)c2ccc(C#N)c(Cl)c2)C1,IC50,'=',2400.0,nM,5.62,CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2)c2ccc(C#N)c(Cl)c2)C1,389.91
1485,CHEMBL285831,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1,IC50,'=',17000.0,nM,4.77,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1,435.35
1493,CHEMBL231350,CC(C)Nc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2,IC50,'=',17000.0,nM,4.77,CC(C)Nc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2,484.07
1501,CHEMBL3127501,O=C(Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1)[C@@H]1C[C@H]1c1cccnc1,IC50,'=',450.0,nM,6.35,O=C(Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1)[C@@H]1C[C@H]1c1cccnc1,462.45
1504,CHEMBL1917443,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,IC50,'=',5200.0,nM,5.28,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,389.5
1515,CHEMBL1917389,O=C(O)COc1ccc(Cl)cc1C#Cc1cccc(Cl)c1,IC50,'=',1440.0,nM,5.84,O=C(O)COc1ccc(Cl)cc1C#Cc1cccc(Cl)c1,321.16
1518,CHEMBL244403,CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,IC50,'=',80800.0,nM,4.09,CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,368.48
1637,CHEMBL179399,C[n+]1c[nH]cc1-c1cccnc1,IC50,'=',79500.0,nM,4.1,C[n+]1c[nH]cc1-c1cccnc1,160.2
