,molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,base_rdkit_smiles,molecular_weight
4365,CHEMBL3331504,Clc1ccc(CN(C2CCCCC2)C2CNC2)cc1,IC50,'=',6890.0,nM,5.16,Clc1ccc(CN(C2CCCCC2)C2CNC2)cc1,278.83
4366,CHEMBL3331507,Clc1cccc(N(Cc2ccc3ccccc3c2)C2CNC2)c1,IC50,'=',3340.0,nM,5.48,Clc1cccc(N(Cc2ccc3ccccc3c2)C2CNC2)c1,322.84
4461,CHEMBL237248,O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,IC50,'=',42000.0,nM,4.38,O=C(CCc1nc(-c2ccc(O)cn2)no1)Nc1ccccc1C(=O)O,354.32
4564,CHEMBL1760338,COc1ccccc1N1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n[nH]2)CC1,IC50,'=',3000.0,nM,5.52,COc1ccccc1N1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n[nH]2)CC1,396.88
4565,CHEMBL595632,O=C(O)/C=C/c1ccc(Cn2cccn2)cc1OCCc1ccc2ccccc2c1,IC50,'=',12800.0,nM,4.89,O=C(O)/C=C/c1ccc(Cn2cccn2)cc1OCCc1ccc2ccccc2c1,398.46
4574,CHEMBL230043,Cc1cc(C2=NCCCN2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,IC50,'=',100000.0,nM,4.0,Cc1cc(C2=NCCCN2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,476.97
4575,CHEMBL231609,Cc1cc(C(=O)NC2CCCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,IC50,'=',3500.0,nM,5.46,Cc1cc(C(=O)NC2CCCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,506.01
4576,CHEMBL387620,O=C(NCC1(O)CCCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,IC50,'=',10000.0,nM,5.0,O=C(NCC1(O)CCCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,428.84
4577,CHEMBL226386,O=C(NCC1CCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,IC50,'=',6000.0,nM,5.22,O=C(NCC1CCCC1)c1cnc(Nc2cccc(Cl)c2)nc1C(F)(F)F,398.82
4583,CHEMBL231620,Cc1cnc(-c2cc(C)c3nc(-c4c(NCC(O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)[nH]1,IC50,'=',7800.0,nM,5.11,Cc1cnc(-c2cc(C)c3nc(-c4c(NCC(O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)[nH]1,474.95
4585,CHEMBL1760005,CCCCN(c1cccc(-c2ccc(OC(F)(F)F)cc2)c1Cl)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,IC50,'=',794.33,nM,6.1,CCCCN(c1cccc(-c2ccc(OC(F)(F)F)cc2)c1Cl)S(=O)(=O)c1ccc(OC(C)C(=O)O)c(C)c1C,600.06
4608,CHEMBL487370,COc1cccc(N2CCN(C(=O)c3ccc(C(=O)C(F)(F)F)s3)CC2)c1,IC50,'=',8000.0,nM,5.1,COc1cccc(N2CCN(C(=O)c3ccc(C(=O)C(F)(F)F)s3)CC2)c1,398.41
4643,CHEMBL3408946,C[C@H]1CN(Cc2ccc(/C=C/c3n[nH]c4cc([C@@H]5C[C@@]56C(=O)Nc5ccccc56)ccc34)cc2)C[C@@H](C)O1,IC50,'=',800.0,nM,6.1,C[C@H]1CN(Cc2ccc(/C=C/c3n[nH]c4cc([C@@H]5C[C@@]56C(=O)Nc5ccccc56)ccc34)cc2)C[C@@H](C)O1,504.63
4665,CHEMBL397667,Cc1cc(Br)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,IC50,'=',720.0,nM,6.14,Cc1cc(Br)cc2[nH]c(-c3c(N[C@H](CO)Cc4ccccc4)cc[nH]c3=O)nc12,453.34
4669,CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,'=',535.0,nM,6.27,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.37
4692,CHEMBL3310486,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(F)c2)cc1,IC50,'=',2400.0,nM,5.62,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(F)c2)cc1,323.77
4703,CHEMBL1270215,CC(C)(C)OC(=O)N[C@@H]1CCN(C(=O)OC2C3CC4CC(C3)CC2C4)C1,IC50,'=',11400.0,nM,4.94,CC(C)(C)OC(=O)N[C@@H]1CCN(C(=O)OC2C3CC4CC(C3)CC2C4)C1,364.49
4713,CHEMBL2425146,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3ccnc3)cc2)cc1,IC50,'=',800.0,nM,6.1,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3ccnc3)cc2)cc1,414.51
4714,CHEMBL2419518,CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)cn1,IC50,'=',73.0,nM,7.14,CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)cn1,425.51
4718,CHEMBL4442726,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)c(F)c2)nc2ccsc12,IC50,'=',1990.0,nM,5.7,Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)c(F)c2)nc2ccsc12,441.49
4730,CHEMBL8153,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1,IC50,'=',3000.0,nM,5.52,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1,542.75
4734,CHEMBL179529,CNc1ccc(-c2cccnc2)s1,IC50,'=',2100.0,nM,5.68,CNc1ccc(-c2cccnc2)s1,190.27
4738,CHEMBL3260754,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3F)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,IC50,'=',14000.0,nM,4.85,CCn1nc2c(-c3ccc(Cl)cc3)c(-c3ccncc3F)c(=O)n(Cc3ccc(C(F)(F)F)nc3C)n2c1=O,558.92
4744,CHEMBL475927,N#Cc1ccc(C(=O)NCC(=O)NC(c2ccccc2)c2ccc(Cl)cc2)cc1,IC50,'=',14700.0,nM,4.83,N#Cc1ccc(C(=O)NCC(=O)NC(c2ccccc2)c2ccc(Cl)cc2)cc1,403.87
4748,CHEMBL3298909,CCc1nc2cc(Cl)ccn2c1C(=O)NCc1ccc(N2CCC(c3ccc(OC(F)(F)F)cc3)CC2)cc1,IC50,'=',140.0,nM,6.85,CCc1nc2cc(Cl)ccn2c1C(=O)NCc1ccc(N2CCC(c3ccc(OC(F)(F)F)cc3)CC2)cc1,557.02
4750,CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,'=',350.0,nM,6.46,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.37
4804,CHEMBL2332097,COc1cccc(CN(C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,IC50,'=',600.0,nM,6.22,COc1cccc(CN(C)C(=O)Nc2ccc(-c3cn[nH]c3)cc2)c1,336.4
4825,CHEMBL151037,CCCCOc1ccc(-c2ccnn2C)cc1,IC50,'=',6480.0,nM,5.19,CCCCOc1ccc(-c2ccnn2C)cc1,230.31
4832,CHEMBL3673970,COc1cc(CNc2ccc(Cc3c[nH]c4ncc(C)cc34)c(F)n2)c(F)cn1,IC50,'=',5000.0,nM,5.3,COc1cc(CNc2ccc(Cc3c[nH]c4ncc(C)cc34)c(F)n2)c(F)cn1,395.41
4909,CHEMBL3682507,CC(C)C(c1ccc2cc(OC(F)F)ccc2c1)n1ncnn1,IC50,'=',15000.0,nM,4.82,CC(C)C(c1ccc2cc(OC(F)F)ccc2c1)n1ncnn1,318.33
4987,CHEMBL267865,CCCCc1ccc(/N=C/NO)c(C)c1,IC50,'=',4170.0,nM,5.38,CCCCc1ccc(/N=C/NO)c(C)c1,206.29
5114,CHEMBL512414,NC(=O)C1(c2ccccc2)CC2CCC(C1)N2C(c1ccccc1Cl)c1ccccc1Cl,IC50,'=',8000.0,nM,5.1,NC(=O)C1(c2ccccc2)CC2CCC(C1)N2C(c1ccccc1Cl)c1ccccc1Cl,465.42
5343,CHEMBL112592,c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,IC50,'=',130.0,nM,6.89,c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,251.29
5349,CHEMBL4577020,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3c(F)cccc32)cc1,IC50,'=',22600.0,nM,4.65,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3c(F)cccc32)cc1,461.8
5351,CHEMBL121420,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCCO)c3ccnn3-c3ccccc3)cc2)c1,IC50,'=',15000.0,nM,4.82,O=[N+]([O-])c1cccc(-c2ccc(S(=O)(=O)N(CCCCO)c3ccnn3-c3ccccc3)cc2)c1,492.56
5352,CHEMBL3353337,O=C1Nc2ccccc2/C1=C/c1ccc2cn[nH]c2c1,IC50,'=',500.0,nM,6.3,O=C1Nc2ccccc2/C1=C/c1ccc2cn[nH]c2c1,261.28
5353,CHEMBL2177588,CN1C[C@@H](C(=O)Nc2ccc(Cl)cc2)[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,IC50,'=',23000.0,nM,4.64,CN1C[C@@H](C(=O)Nc2ccc(Cl)cc2)[C@H](c2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)C1,474.99
5368,CHEMBL2017283,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3C(C)(C)C)c12,IC50,'=',900.0,nM,6.05,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3C(C)(C)C)c12,442.52
5370,CHEMBL1916559,O=C(O)CCC(=O)N1CCc2cc(-c3noc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)ccc21,IC50,'=',34800.0,nM,4.46,O=C(O)CCC(=O)N1CCc2cc(-c3noc(-c4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)ccc21,499.37
5379,CHEMBL557885,COc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,IC50,'=',8000.0,nM,5.1,COc1ccc(Nc2nc3cc(C(N)=O)ccc3n2Cc2ccccc2C(F)(F)F)cc1,440.43
5427,CHEMBL2419495,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3F)CC2)nc1C,IC50,'=',4100.0,nM,5.39,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3F)CC2)nc1C,506.53
5429,CHEMBL1836215,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,IC50,'=',4300.0,nM,5.37,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)C2,448.52
5478,CHEMBL3310483,Fc1cc(C(CC2CNC2)Oc2cccc(Cl)c2)ccc1Cl,IC50,'=',1100.0,nM,5.96,Fc1cc(C(CC2CNC2)Oc2cccc(Cl)c2)ccc1Cl,340.23
5586,CHEMBL270361,COc1cc(/C=C2\CC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,IC50,'=',2800.0,nM,5.55,COc1cc(/C=C2\CC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,352.39
5594,CHEMBL3971182,O=C(O)c1c(N2CCCCC2)nc2c(Cl)cc(Cl)cc2c1-c1ccccc1,IC50,'=',21000.0,nM,4.68,O=C(O)c1c(N2CCCCC2)nc2c(Cl)cc(Cl)cc2c1-c1ccccc1,401.29
5605,CHEMBL3261425,Cc1nn(C2CCCC2)c(C)c1S(=O)(=O)N[C@@H](C)CNc1cccc2c1cnn2-c1ccc(F)nc1,IC50,'=',17000.0,nM,4.77,Cc1nn(C2CCCC2)c(C)c1S(=O)(=O)N[C@@H](C)CNc1cccc2c1cnn2-c1ccc(F)nc1,511.63
5610,CHEMBL107430,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,IC50,'=',25000.0,nM,4.6,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,437.87
5614,CHEMBL4094806,C[C@@H]1c2nnn(-c3cc(F)ccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,IC50,'=',2800.0,nM,5.55,C[C@@H]1c2nnn(-c3cc(F)ccn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,439.8
5664,CHEMBL231510,Cc1cc(C(=O)NC2CC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,IC50,'=',8100.0,nM,5.09,Cc1cc(C(=O)NC2CC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,477.95
5665,CHEMBL4528662,COc1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)ncn1,IC50,'=',5011.87,nM,5.3,COc1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c2ccc(-c3cc[nH]n3)cc2)ncn1,405.46
5670,CHEMBL2425958,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,IC50,'=',9100.0,nM,5.04,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,349.39
5686,CHEMBL592675,COc1cc([C@@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@H]2CO)ccc1O,IC50,'=',8200.0,nM,5.09,COc1cc([C@@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@H]2CO)ccc1O,482.44
5688,CHEMBL3810245,CC(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1,IC50,'=',31.0,nM,7.51,CC(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1,459.45
5689,CHEMBL595913,O=S(=O)(c1ccccc1F)c1cc(Cl)ccc1S(=O)(=O)N1CCC(CNS(=O)(=O)C(F)(F)F)(c2ccccc2)CC1,IC50,'=',300.0,nM,6.52,O=S(=O)(c1ccccc1F)c1cc(Cl)ccc1S(=O)(=O)N1CCC(CNS(=O)(=O)C(F)(F)F)(c2ccccc2)CC1,655.11
5703,CHEMBL2376562,Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1,IC50,'=',3100.0,nM,5.51,Cc1ccc(S(=O)(=O)Nc2cc(Oc3ccccc3)ccc2C(=O)O)cc1,383.43
5708,CHEMBL3086078,Cc1c(Cc2cccc(NS(N)(=O)=O)c2F)c(=O)oc2cc(OC(=O)N(C)C)c(F)cc12,IC50,'=',12000.0,nM,4.92,Cc1c(Cc2cccc(NS(N)(=O)=O)c2F)c(=O)oc2cc(OC(=O)N(C)C)c(F)cc12,467.45
5712,CHEMBL195561,N#CCn1c(=O)c(CCO)c(-c2cc(Cl)ccc2O)c2cc(C(F)(F)F)ccc21,IC50,'=',3900.0,nM,5.41,N#CCn1c(=O)c(CCO)c(-c2cc(Cl)ccc2O)c2cc(C(F)(F)F)ccc21,422.79
5729,CHEMBL321051,CCCCCCc1ccc(N/C=N/O)cc1,IC50,'=',300.0,nM,6.52,CCCCCCc1ccc(N/C=N/O)cc1,220.32
5730,CHEMBL1829759,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCCO)(c2ccccc2)OC1=O,IC50,'=',3000.0,nM,5.52,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCCO)(c2ccccc2)OC1=O,451.51
5731,CHEMBL1080003,COc1ccc2c(C(F)(F)F)c(CC(=O)O)c(=O)oc2c1,IC50,'=',50000.0,nM,4.3,COc1ccc2c(C(F)(F)F)c(CC(=O)O)c(=O)oc2c1,302.2
5732,CHEMBL319754,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,IC50,'=',28000.0,nM,4.55,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,638.65
5733,CHEMBL1170305,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)N[C@@H](c1cccc(F)c1)C1CC1,IC50,'=',7943.28,nM,5.1,Cc1c(-c2ccccc2)nc2ccccc2c1C(=O)N[C@@H](c1cccc(F)c1)C1CC1,410.49
5734,CHEMBL1170483,O=C(Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccccc21)N(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(c2ccncn2)CC1,IC50,'=',79.43,nM,7.1,O=C(Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccccc21)N(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C1CCN(c2ccncn2)CC1,738.76
5740,CHEMBL2019026,Nc1ccc2[nH]c(SCc3ccccn3)nc2c1,IC50,'=',6970.0,nM,5.16,Nc1ccc2[nH]c(SCc3ccccn3)nc2c1,256.33
5748,CHEMBL2017276,COc1cc2c(Nc3ccccc3C(=O)c3ccccn3)c(C(N)=O)cnc2cc1-c1c(C)noc1C,IC50,'=',9900.0,nM,5.0,COc1cc2c(Nc3ccccc3C(=O)c3ccccn3)c(C(N)=O)cnc2cc1-c1c(C)noc1C,493.52
5749,CHEMBL2017284,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3OC(F)(F)F)c12,IC50,'=',2300.0,nM,5.64,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3OC(F)(F)F)c12,470.41
5848,CHEMBL2392701,CNc1cc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)nc(C)n1,IC50,'=',1000.0,nM,6.0,CNc1cc(N2CCC(C(=O)NCc3ccccc3C(F)(F)F)CC2)nc(C)n1,407.44
5849,CHEMBL321814,O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3cccc(Cl)c3o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,IC50,'=',27300.0,nM,4.56,O=C(NCC(F)(F)F)[C@@H]1CN(Cc2cc3cccc(Cl)c3o2)CCN1C[C@@H](O)C[C@@H](Cc1cccnc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,730.18
5850,CHEMBL1079436,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)[nH]c12,IC50,'=',61000.0,nM,4.21,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)[nH]c12,378.48
5851,CHEMBL1076245,Cc1cccc(C)c1CNc1nc(N2CCCC2=O)cc2c(C)c(C)[nH]c12,IC50,'=',1400.0,nM,5.85,Cc1cccc(C)c1CNc1nc(N2CCCC2=O)cc2c(C)c(C)[nH]c12,362.48
5852,CHEMBL534942,Cl.Clc1ccccc1CC(c1ccccc1)N1CCNCC1,IC50,'=',23000.0,nM,4.64,Clc1ccccc1CC(c1ccccc1)N1CCNCC1,337.29
5855,CHEMBL1269176,OC1C2CC3CC(C2)CC1C3,IC50,'=',22000.0,nM,4.66,OC1C2CC3CC(C2)CC1C3,152.24
5856,CHEMBL2170639,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccc(O)nc3)CC2)c(C(F)(F)F)c1,IC50,'=',29000.0,nM,4.54,N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccc(O)nc3)CC2)c(C(F)(F)F)c1,435.41
5857,CHEMBL3331506,Fc1ccccc1N(Cc1ccc(Cl)cc1)C1CNC1,IC50,'=',460.0,nM,6.34,Fc1ccccc1N(Cc1ccc(Cl)cc1)C1CNC1,290.77
5859,CHEMBL4203720,COc1cccc(NC(C(=O)c2c[nH]c3ccccc23)c2nc3ccccc3o2)c1,IC50,'=',6100.0,nM,5.21,COc1cccc(NC(C(=O)c2c[nH]c3ccccc23)c2nc3ccccc3o2)c1,397.43
5861,CHEMBL1671917,CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,IC50,'=',40000.0,nM,4.4,CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,303.39
5875,CHEMBL3353863,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(Cl)cc2)no1,IC50,'=',46000.0,nM,4.34,CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2c2ccc(Cl)cc2)no1,347.85
5879,CHEMBL1242904,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nccn4-5)CC3)cccc2n1,IC50,'=',4000.0,nM,5.4,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4nccn4-5)CC3)cccc2n1,425.54
5925,CHEMBL4101807,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,IC50,'=',8500.0,nM,5.07,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,337.38
5928,CHEMBL2165175,Cc1cc(-c2cc(=O)[nH]c(NCc3cccc4ccccc34)n2)ccn1,IC50,'=',400.0,nM,6.4,Cc1cc(-c2cc(=O)[nH]c(NCc3cccc4ccccc34)n2)ccn1,342.4
5930,CHEMBL4081213,N#CC1(NC(=O)[C@H](Cc2ccc(OC(F)(F)F)c(Cl)c2)NC(=O)c2cnn(-c3cccnc3)n2)CC1,IC50,'=',7000.0,nM,5.16,N#CC1(NC(=O)[C@H](Cc2ccc(OC(F)(F)F)c(Cl)c2)NC(=O)c2cnn(-c3cccnc3)n2)CC1,519.87
5939,CHEMBL3298908,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(N2CCC(c3ccc(Cl)cc3)CC2)cc1,IC50,'=',260.0,nM,6.58,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(N2CCC(c3ccc(Cl)cc3)CC2)cc1,507.47
5941,CHEMBL485612,COc1cc(C2=NC(c3ccc(Cl)cc3F)C(C(=O)Nc3cc4cn[nH]c4cc3F)=C(C)N2)ccn1,IC50,'=',8400.0,nM,5.08,COc1cc(C2=NC(c3ccc(Cl)cc3F)C(C(=O)Nc3cc4cn[nH]c4cc3F)=C(C)N2)ccn1,508.92
5952,CHEMBL3331469,Cl.c1ccc(N(Cc2ccc3ccccc3c2)C2CNC2)cc1,IC50,'=',3130.0,nM,5.5,c1ccc(N(Cc2ccc3ccccc3c2)C2CNC2)cc1,324.86
5954,CHEMBL3919966,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N5CCCC5)nc4)cc23)c1F,IC50,'=',5000.0,nM,5.3,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(N5CCCC5)nc4)cc23)c1F,525.58
5960,CHEMBL1109,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,IC50,'=',250.0,nM,6.6,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.37
5977,CHEMBL3664670,Cc1cc(-c2ccc([C@H](C)N3CC[C@](CC(C)(C)O)(c4ccccc4)OC3=O)cc2)cc(=O)n1C,IC50,'=',33000.0,nM,4.48,Cc1cc(-c2ccc([C@H](C)N3CC[C@](CC(C)(C)O)(c4ccccc4)OC3=O)cc2)cc(=O)n1C,474.6
5999,CHEMBL510171,Cc1nc2c(N[C@@H]3CCc4ccccc43)cc(-n3cncn3)cn2c1C,IC50,'=',4600.0,nM,5.34,Cc1nc2c(N[C@@H]3CCc4ccccc43)cc(-n3cncn3)cn2c1C,344.42
6000,CHEMBL379399,CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)[C@@H]3CC[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,IC50,'=',200.0,nM,6.7,CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)[C@@H]3CC[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,544.62
6002,CHEMBL252089,CC(C)(c1cc(-c2cccc(-c3cnc4nc[nH]c4c3)c2)c2ncccc2c1)S(C)(=O)=O,IC50,'=',2900.0,nM,5.54,CC(C)(c1cc(-c2cccc(-c3cnc4nc[nH]c4c3)c2)c2ncccc2c1)S(C)(=O)=O,442.54
6005,CHEMBL252886,CC(C)(c1cc(-c2cccc(-c3cccc(CCC(=O)O)c3)c2)c2ncccc2c1)S(C)(=O)=O,IC50,'=',7200.0,nM,5.14,CC(C)(c1cc(-c2cccc(-c3cccc(CCC(=O)O)c3)c2)c2ncccc2c1)S(C)(=O)=O,473.59
6006,CHEMBL436847,CC(C)(O)c1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],IC50,'=',15000.0,nM,4.82,CC(C)(O)c1ccc(-c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c[n+]1[O-],476.6
6030,CHEMBL223079,O=C1NC(c2ccc(F)cc2)(c2ccc(F)cc2)CN1C1CCN(Cc2cccc(Cl)c2)CC1,IC50,'=',4200.0,nM,5.38,O=C1NC(c2ccc(F)cc2)(c2ccc(F)cc2)CN1C1CCN(Cc2cccc(Cl)c2)CC1,481.97
6032,CHEMBL3422006,C[C@@H]1c2nnc(-c3csc(-c4ccccc4)n3)n2CCN1C(=O)c1ccc(F)cc1,IC50,'=',19000.0,nM,4.72,C[C@@H]1c2nnc(-c3csc(-c4ccccc4)n3)n2CCN1C(=O)c1ccc(F)cc1,419.49
6034,CHEMBL103320,Cc1ccc(N/C=N/O)cc1,IC50,'=',79000.0,nM,4.1,Cc1ccc(N/C=N/O)cc1,150.18
6040,CHEMBL3798234,Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,IC50,'=',7200.0,nM,5.14,Nc1cccnc1C(=O)Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1,392.8
6051,CHEMBL592746,CC(C)(C)C(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,IC50,'=',440.0,nM,6.36,CC(C)(C)C(=O)N1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,463.93
6053,CHEMBL524472,C[C@@H](Nc1c(Nc2ccn[nH]2)c(=O)c1=O)c1ccccc1,IC50,'=',12000.0,nM,4.92,C[C@@H](Nc1c(Nc2ccn[nH]2)c(=O)c1=O)c1ccccc1,282.3
